id|name|tagcount
416|艾伦·坡|1
417|歌特|3
418|霍桑|2
419|中国侦破小说之父|1
420|松本清張|5
421|砂之器|1
422|哥特小说|2
423|文学评论|5
424|暗黑系|3
425|战国|1
426|日本战国|1
427|历史小说|4
428|菲洛·万斯|2
429|班森杀人事件|1
430|S.S范达因|3
431|古典解谜|3
432|高罗佩|6
433|狄仁杰|6
434|公案|1
435|画集|2
436|插画|1
437|美术|1
438|歇洛克·福尔摩斯|6
439|多图|1
440|柯南·道尔|4
441|帕特丽夏・康薇尔|2
442|法医|2
443|侦破小说|3
444|侦破|1
445|约翰·格里森姆|2
446|法律小说|2
447|美國|6
448|欧美及其他国家|2
449|美|2
450|翻译|4
451|卡斯顿·勒鲁|2
452|加斯东·勒鲁|3
453|狄更斯|1
454|未完成|2
455|查尔斯·狄更斯|2
456|德鲁德疑案|1
457|classics|1
458|2009|4
459|英国作家|1
460|巴拿马裁缝|1
461|尼罗河上的惨案|2
462|渡边容子|1
463|**台·M木馬文化*|17
464|John_le-Carre|18
465|John_le_Carré|17
466|岛田庄司|73
467|御手洗洁|25
468|島田莊司|35
469|律师|1
470|约翰．格里森姆|1
471|种族|1
472|艾勒里·奎因|11
473|艾勒里·奎恩|5
474|唐諾|2
475|唐诺|2
476|台湾|7
477|导读|3
478|康永推荐|2
479|岡本綺堂|2
480|冈本绮堂|12
481|江户时代|2
482|時代小說|1
483|Hammett|1
484|达希尔·汉密特|1
485|伦敦谍影|1
486|勒卡雷|9
487|fiction(short)|1
488|灰色，晦澀，POE|1
489|POEMS|1
490|中短篇小说|1
491|戏|2
492|文學|9
493|翻譯小說|6
494|間諜小說|1
495|乙一|61
496|被遗忘的故事|2
497|奇幻|21
498|轻小说|13
499|荣誉学生|1
500|傳記|1
501|阿嘉莎‧克莉絲蒂|52
502|人物聚焦|1
503|Agatha_Christie|25
504|遠流|1
505|力作。|1
506|姑娘@張定綺|1
507|约翰勒卡雷|1
508|史迈利三部曲|4
509|董乐山|1
510|英国小说|1
511|本格|32
512|taiban|59
513|处女作|14
514|推理．懸疑|18
515|伊坂幸太郎|35
516|懸疑推理驚悚|4
517|東野圭吾|95
518|东野圭吾|97
519|宮部美幸|7
520|京極夏彥|31
521|怪談|1
522|京极夏彦|34
523|怪谈|5
524|小說|68
525|歌野晶午|3
526|叙述性诡计|11
527|CARR|1
528|中国台湾|5
529|工具書|1
530|推理&侦探|2
531|研究|8
532|新本格派|8
533|森博嗣|16
534|犀川&萌繪系列|5
535|1996|1
536|火村英生|1
537|无足迹杀人|7
538|神探伽利略|1
539|S&M系列|11
540|犀川&萌绘系列|3
541|Holmes|6
542|福学|2
543|Annotated|3
544|英文原版书|2
545|既晴|2
546|《魔法妄想症》|1
547|怪胎|1
548|綾辻行人|12
549|艾勒里•昆恩|4
550|艾勒里.奎因|1
551|梦野久作|2
552|日本四大推理奇书|5
553|变格派|3
554|艾勒里．昆恩|1
555|史迈利|1
556|大岡昇平|1
557|**台·S商周文化*|1
558|京极夏彥|6
559|萌川與犀繪系列|1
560|**台·L臉譜*|8
561|Raymond_Chandler|9
562|CWA百强|9
563|Dennis|1
564|Lehane,|1
565|LehaneDennis|1
566|小林英樹|1
567|懸疑|4
568|梵高|2
569|藝術|1
570|買了未讀|1
571|二宫和也|1
572|偵探|7
573|赫丘勒．白羅|2
574|本格推理|25
575|科幻|7
576|阿西莫夫|2
577|机器人|1
578|机器人系列|1
579|科幻小说|2
580|艾萨克·阿西莫夫|1
581|美国当代|1
582|永别了，我的恋人|1
583|美丽的卡门|1
584|复旦文图|1
585|很俏皮很酷的侦探小说|1
586|超感犯罪心理小说|3
587|电子书|3
588|图书馆|1
589|金田一少年事件簿|1
590|少年漫画|2
591|格雷厄姆·格林|4
592|译林现当代|1
593|英美|1
594|英美文学|1
595|譯文|1
596|安东尼.鲍查|1
597|Arthur_Upfield|1
598|台灣|2
599|在架未讀|1
600|法医手书|1
601|英國|29
602|阿嘉莎．克莉絲蒂|8
603|英國文學|71
604|克莉絲蒂|2
605|底牌|1
606|切斯特顿|4
607|散文|2
608|随笔|3
609|G·K·切斯特顿|3
610|散文随笔|2
611|亲爱的书架|1
612|短篇|8
613|s.s.范达因|1
614|金丝雀杀人事件|1
615|Goth.斷掌事件|1
616|推理-恐怖-悬疑|1
617|爱伦・坡|2
618|2011年1月|1
619|资料汇编|1
620|汤姆・克兰西|1
621|军事|2
622|冷战|4
623|战争|2
624|只有你聽到|1
625|白乙一|6
626|推理评论|2
627|歌特文学|1
628|曹明伦|2
629|真诡异|1
630|悬疑小说|6
631|社会宗教关系|1
632|西班牙|3
633|西班牙小说|1
634|电影小说|1
635|家庭|1
636|殺人之門|1
637|Ij-推理小說|4
638|吉敷竹史|19
639|土屋隆夫|19
640|梅萨迪耶|1
641|HistoricalNovelofAncientGreece|1
642|以色列·赞维尔|1
643|伊斯瑞尔·冉威尔|3
644|翁贝托·埃科|1
645|玫瑰之名|2
646|符号学|2
647|敘述性詭計|2
648|刑事|1
649|纪实|1
650|罪案|2
651|罪案纪实|1
652|我看的是这个版本|1
653|派翠西亚·海史密斯|3
654|MWA百强|11
655|Ripley|1
656|聪明的瑞普利先生|1
657|放起来|2
658|竹村警部|1
659|旅情推理|1
660|经典小说|1
661|驰星周|2
662|黑帮|2
663|文學小說|1
664|馳星周|4
665|秘密|1
666|森雅裕|2
667|莫札特不唱摇篮曲|1
668|台版|14
669|大眠|1
670|偵探小說|3
671|錢德勒|7
672|想读|2
673|細小海鷗皮|1
674|外國小說|1
675|失蹤Holiday|1
676|輕小說|5
677|奇妙物語|1
678|失踪Holiday|1
679|寂寞的頻率|1
680|多萝西·利·塞耶斯|6
681|多萝西·L·塞耶斯|6
682|温姆塞勋爵|1
683|广告|1
684|DorothySayers|1
685|多萝西·塞耶斯|6
686|多萝西·L.塞耶斯|7
687|群众出版社|12
688|彼得·温西勋爵|1
689|大泽在昌|3
690|新宿鮫|2
691|格林|2
692|★浙江文艺－兔子译丛|1
693|Graham|2
694|浙江文艺|1
695|张爱玲推荐|1
696|小松左京|1
697|日本沉没|1
698|世界科幻大师丛书|1
699|犯罪的回送|1
700|御手洗潔|1
701|Dorothy_L.Sayers|1
702|外文原著|1
703|Wexford|2
704|宫部美雪|8
705|歐美系推理|8
706|原版书|7
707|卡尔三大杰作|4
708|菲尔博士|21
709|毒杀|6
710|卡尔三大经典|2
711|卡尔|5
712|安东尼·伯克莱|8
713|多重解答|10
714|毒殺|5
715|Fiction-mystery|2
716|童谣杀人|6
717|Janet.Evanovich|1
718|CrimeFiction|1
719|三色猫|2
720|它们很有情节|1
721|通俗文学|2
722|JimThompson|1
723|novel|2
724|天秤|1
725|英文原版|3
726|邮差总敲两次们|1
727|犯罪小说|1
728|JohnDicksonCarr|51
729|希腊棺材之谜|1
730|全部成为F|1
731|玻璃密室|1
732|玛丽·贝洛克·朗蒂丝|1
733|克劳夫兹|1
734|不在场证明|4
735|時刻表推理|2
736|gothic|1
737|TerryPrachett|1
738|Discworld|1
739|Fantasy|2
740|Pratchett|1
741|Terry|1
742|Terry-Pratchett|1
743|TerryPratchett|1
744|恐怖小说|2
745|反推理小说|1
746|爱德蒙·本特利|1
747|红龙|1
748|犯罪心理学|2
749|社会派推理|1
750|約翰‧勒卡雷|1
751|犯罪推理|2
752|选读|1
753|藤原伊织|3
754|新野刚志|1
755|日本细菌战|1
756|真相|1
757|奥希兹女男爵|2
758|角落里的老人|1
759|古典解谜推理|1
760|阳光下的罪恶|1
761|侦探小说历史|1
762|侦探小说研究|1
763|网络|1
764|选集|2
765|多人|1
766|原创推理|2
767|英文版|1
768|AGATHA|1
769|2010|3
770|近代|1
771|翻譯研究|1
772|考虑|1
773|翻译文学|1
774|4.1|1
775|已售|1
776|欧美侦探小说|1
777|破案|1
778|艾玛加瓦|1
779|****|1
780|普利策文学奖|1
781|沃克是本书品质的保证|1
782|话剧|2
783|赫尔曼|1
784|玛丽.希金斯.克拉克|7
785|北方谦三|7
786|<a|1
787|href="http:::www.douban.com:sub|1
788|日|3
789|澄清透明|1
790|野菊之墓|1
791|古堡钟声|1
792|翻译杯具了|2
793|1.迪克·弗朗西斯|2
794|WalterMosley|1
795|阿刀田高|3
796|四川文艺出版社|1
797|山德斯|2
798|Edward.D.Hoch|2
